Branch,Cutoff,Category,College,College Code,Location
AI,3279,GM,University Visveswariah College of Engineering,E001,Bangalore
CE,25682,GM,University Visveswariah College of Engineering,E001,Bangalore
CS,1459,GM,University Visveswariah College of Engineering,E001,Bangalore
EC,5142,GM,University Visveswariah College of Engineering,E001,Bangalore
EE,12903,GM,University Visveswariah College of Engineering,E001,Bangalore
IE,2557,GM,University Visveswariah College of Engineering,E001,Bangalore
ME,29417,GM,University Visveswariah College of Engineering,E001,Bangalore
AI,7512,1G,University Visveswariah College of Engineering,E001,Bangalore
CE,34982,1G,University Visveswariah College of Engineering,E001,Bangalore
CS,2601,1G,University Visveswariah College of Engineering,E001,Bangalore
EC,8977,1G,University Visveswariah College of Engineering,E001,Bangalore
EE,20587,1G,University Visveswariah College of Engineering,E001,Bangalore
IE,5591,1G,University Visveswariah College of Engineering,E001,Bangalore
ME,37965,1G,University Visveswariah College of Engineering,E001,Bangalore
AI,5887,2AG,University Visveswariah College of Engineering,E001,Bangalore
CE,36476,2AG,University Visveswariah College of Engineering,E001,Bangalore
CS,2986,2AG,University Visveswariah College of Engineering,E001,Bangalore
EC,8610,2AG,University Visveswariah College of Engineering,E001,Bangalore
EE,17669,2AG,University Visveswariah College of Engineering,E001,Bangalore
IE,4143,2AG,University Visveswariah College of Engineering,E001,Bangalore
ME,45666,2AG,University Visveswariah College of Engineering,E001,Bangalore
AI,7098,2BG,University Visveswariah College of Engineering,E001,Bangalore
CE,38508,2BG,University Visveswariah College of Engineering,E001,Bangalore
CS,3940,2BG,University Visveswariah College of Engineering,E001,Bangalore
EC,13870,2BG,University Visveswariah College of Engineering,E001,Bangalore
EE,19148,2BG,University Visveswariah College of Engineering,E001,Bangalore
IE,5915,2BG,University Visveswariah College of Engineering,E001,Bangalore
ME,45062,2BG,University Visveswariah College of Engineering,E001,Bangalore
AI,4009,3AG,University Visveswariah College of Engineering,E001,Bangalore
CE,28542,3AG,University Visveswariah College of Engineering,E001,Bangalore
CS,1623,3AG,University Visveswariah College of Engineering,E001,Bangalore
EC,5689,3AG,University Visveswariah College of Engineering,E001,Bangalore
EE,14319,3AG,University Visveswariah College of Engineering,E001,Bangalore
IE,2970,3AG,University Visveswariah College of Engineering,E001,Bangalore
ME,32397,3AG,University Visveswariah College of Engineering,E001,Bangalore
AI,5036,3BG,University Visveswariah College of Engineering,E001,Bangalore
CE,29738,3BG,University Visveswariah College of Engineering,E001,Bangalore
